index,X0,X1,X2,X3,X4,X5,Y
33,-2.3,0.565,4.78,5.35,2.76,0.25,1.99
300,-2.3,0.6,4.34,4.23,2.73,0.275,2.63
34,-2.3,0.565,4.78,5.35,2.76,0.275,2.94
208,-2.3,0.53,4.76,3.68,3.16,0.425,37.38
303,-2.3,0.6,4.34,4.23,2.73,0.35,8.47
18,-2.3,0.569,4.78,3.04,3.64,0.225,1.06
93,-2.3,0.562,5.14,4.95,3.17,0.35,8.28
91,-2.3,0.562,5.14,4.95,3.17,0.3,4.09
46,-2.3,0.564,5.1,3.95,3.53,0.225,1.37
238,-5.0,0.6,4.78,4.24,3.15,0.125,0.06
268,-5.0,0.53,4.78,3.75,3.15,0.175,0.47
64,-2.4,0.574,4.36,3.96,2.76,0.325,5.19
106,-2.4,0.585,4.78,3.84,3.32,0.325,5.79
14,-2.3,0.569,4.78,3.04,3.64,0.125,0.04
275,-5.0,0.53,4.78,3.75,3.15,0.35,7.95
288,-2.3,0.6,5.1,4.17,3.51,0.325,6.31
202,-2.3,0.53,4.76,3.68,3.16,0.275,2.28
13,-2.3,0.568,4.78,3.99,3.17,0.45,49.49
6,-2.3,0.568,4.78,3.99,3.17,0.275,2.61
123,-2.2,0.546,4.78,4.13,3.07,0.4,21.99
113,-2.2,0.546,4.78,4.13,3.07,0.15,0.32
162,0.0,0.565,5.1,3.94,3.51,0.325,5.57
261,0.0,0.53,4.78,3.75,3.15,0.35,9.45
184,-2.3,0.53,5.11,3.69,3.51,0.175,0.46
84,-2.3,0.562,5.14,4.95,3.17,0.125,0.28
43,-2.3,0.564,5.1,3.95,3.53,0.15,0.35
307,-2.3,0.6,4.34,4.23,2.73,0.45,46.66
24,-2.3,0.569,4.78,3.04,3.64,0.375,11.99
117,-2.2,0.546,4.78,4.13,3.07,0.25,1.76
45,-2.3,0.564,5.1,3.95,3.53,0.2,0.93
188,-2.3,0.53,5.11,3.69,3.51,0.275,2.17
234,0.0,0.6,4.78,4.24,3.15,0.375,15.25
178,-5.0,0.565,5.1,3.94,3.51,0.375,12.4
11,-2.3,0.568,4.78,3.99,3.17,0.4,20.11
155,0.0,0.565,5.1,3.94,3.51,0.15,0.26
124,-2.2,0.546,4.78,4.13,3.07,0.425,35.64
68,-2.4,0.574,4.36,3.96,2.76,0.425,33.97
137,0.0,0.565,4.77,3.99,3.15,0.4,24.13
133,0.0,0.565,4.77,3.99,3.15,0.3,4.14
274,-5.0,0.53,4.78,3.75,3.15,0.325,5.07
47,-2.3,0.564,5.1,3.95,3.53,0.25,1.97
61,-2.4,0.574,4.36,3.96,2.76,0.25,1.97
157,0.0,0.565,5.1,3.94,3.51,0.2,0.83
189,-2.3,0.53,5.11,3.69,3.51,0.3,2.98
227,0.0,0.6,4.78,4.24,3.15,0.2,0.73
70,-2.4,0.568,4.34,2.98,3.15,0.125,0.12
244,-5.0,0.6,4.78,4.24,3.15,0.275,2.84
88,-2.3,0.562,5.14,4.95,3.17,0.225,1.57
63,-2.4,0.574,4.36,3.96,2.76,0.3,3.99
281,-2.3,0.6,5.1,4.17,3.51,0.15,0.16
223,-2.3,0.53,4.34,2.81,3.15,0.45,62.42
112,-2.2,0.546,4.78,4.13,3.07,0.125,0.15
101,-2.4,0.585,4.78,3.84,3.32,0.2,0.97
246,-5.0,0.6,4.78,4.24,3.15,0.325,6.2
129,0.0,0.565,4.77,3.99,3.15,0.2,0.79
239,-5.0,0.6,4.78,4.24,3.15,0.15,0.15
1,-2.3,0.568,4.78,3.99,3.17,0.15,0.27
213,-2.3,0.53,4.34,2.81,3.15,0.2,0.63
134,0.0,0.565,4.77,3.99,3.15,0.325,5.96
283,-2.3,0.6,5.1,4.17,3.51,0.2,0.73
12,-2.3,0.568,4.78,3.99,3.17,0.425,32.75
139,0.0,0.565,4.77,3.99,3.15,0.45,55.44
214,-2.3,0.53,4.34,2.81,3.15,0.225,1.01
290,-2.3,0.6,5.1,4.17,3.51,0.375,12.39
211,-2.3,0.53,4.34,2.81,3.15,0.15,0.17
39,-2.3,0.565,4.78,5.35,2.76,0.4,21.4
100,-2.4,0.585,4.78,3.84,3.32,0.175,0.64
99,-2.4,0.585,4.78,3.84,3.32,0.15,0.38
218,-2.3,0.53,4.34,2.81,3.15,0.325,3.87
236,0.0,0.6,4.78,4.24,3.15,0.425,34.62
16,-2.3,0.569,4.78,3.04,3.64,0.175,0.37
163,0.0,0.565,5.1,3.94,3.51,0.35,8.76
173,-5.0,0.565,5.1,3.94,3.51,0.25,1.76
42,-2.3,0.564,5.1,3.95,3.53,0.125,0.2
302,-2.3,0.6,4.34,4.23,2.73,0.325,6.0
71,-2.4,0.568,4.34,2.98,3.15,0.15,0.26
186,-2.3,0.53,5.11,3.69,3.51,0.225,1.11
69,-2.4,0.574,4.36,3.96,2.76,0.45,50.36
182,-2.3,0.53,5.11,3.69,3.51,0.125,0.08
216,-2.3,0.53,4.34,2.81,3.15,0.275,2.05
83,-2.4,0.568,4.34,2.98,3.15,0.45,54.23
304,-2.3,0.6,4.34,4.23,2.73,0.375,12.27
80,-2.4,0.568,4.34,2.98,3.15,0.375,11.56
116,-2.2,0.546,4.78,4.13,3.07,0.225,1.24
253,0.0,0.53,4.78,3.75,3.15,0.15,0.32
301,-2.3,0.6,4.34,4.23,2.73,0.3,4.15
286,-2.3,0.6,5.1,4.17,3.51,0.275,3.04
92,-2.3,0.562,5.14,4.95,3.17,0.325,5.82
204,-2.3,0.53,4.76,3.68,3.16,0.325,4.41
212,-2.3,0.53,4.34,2.81,3.15,0.175,0.35
224,0.0,0.6,4.78,4.24,3.15,0.125,0.03
140,-5.0,0.565,4.77,3.99,3.15,0.125,0.07
180,-5.0,0.565,5.1,3.94,3.51,0.425,33.23
203,-2.3,0.53,4.76,3.68,3.16,0.3,3.09
142,-5.0,0.565,4.77,3.99,3.15,0.175,0.4
232,0.0,0.6,4.78,4.24,3.15,0.325,7.14
291,-2.3,0.6,5.1,4.17,3.51,0.4,20.14
103,-2.4,0.585,4.78,3.84,3.32,0.25,1.98
226,0.0,0.6,4.78,4.24,3.15,0.175,0.4
48,-2.3,0.564,5.1,3.95,3.53,0.275,2.83
130,0.0,0.565,4.77,3.99,3.15,0.225,1.28
276,-5.0,0.53,4.78,3.75,3.15,0.375,13.73
55,-2.3,0.564,5.1,3.95,3.53,0.45,50.36
19,-2.3,0.569,4.78,3.04,3.64,0.25,1.59
293,-2.3,0.6,5.1,4.17,3.51,0.45,47.13
82,-2.4,0.568,4.34,2.98,3.15,0.425,34.5
66,-2.4,0.574,4.36,3.96,2.76,0.375,12.86
271,-5.0,0.53,4.78,3.75,3.15,0.25,1.85
20,-2.3,0.569,4.78,3.04,3.64,0.275,2.33
247,-5.0,0.6,4.78,4.24,3.15,0.35,8.62
153,-5.0,0.565,4.77,3.99,3.15,0.45,51.77
299,-2.3,0.6,4.34,4.23,2.73,0.25,1.62
298,-2.3,0.6,4.34,4.23,2.73,0.225,1.02
229,0.0,0.6,4.78,4.24,3.15,0.25,2.16
233,0.0,0.6,4.78,4.24,3.15,0.35,10.36
89,-2.3,0.562,5.14,4.95,3.17,0.25,2.23
111,-2.4,0.585,4.78,3.84,3.32,0.45,44.38
270,-5.0,0.53,4.78,3.75,3.15,0.225,1.21
128,0.0,0.565,4.77,3.99,3.15,0.175,0.49
160,0.0,0.565,5.1,3.94,3.51,0.275,2.68
110,-2.4,0.585,4.78,3.84,3.32,0.425,30.09
118,-2.2,0.546,4.78,4.13,3.07,0.275,2.49
292,-2.3,0.6,5.1,4.17,3.51,0.425,31.77
166,0.0,0.565,5.1,3.94,3.51,0.425,35.46
146,-5.0,0.565,4.77,3.99,3.15,0.275,2.77
23,-2.3,0.569,4.78,3.04,3.64,0.35,7.11
154,0.0,0.565,5.1,3.94,3.51,0.125,0.08
225,0.0,0.6,4.78,4.24,3.15,0.15,0.18
90,-2.3,0.562,5.14,4.95,3.17,0.275,3.09
76,-2.4,0.568,4.34,2.98,3.15,0.275,2.46
108,-2.4,0.585,4.78,3.84,3.32,0.375,12.15
