index,X0,X1,X2,X3,X4,X5,Y
63,-2.4,0.574,4.36,3.96,2.76,0.3,3.99
247,-5.0,0.6,4.78,4.24,3.15,0.35,8.62
293,-2.3,0.6,5.1,4.17,3.51,0.45,47.13
124,-2.2,0.546,4.78,4.13,3.07,0.425,35.64
188,-2.3,0.53,5.11,3.69,3.51,0.275,2.17
144,-5.0,0.565,4.77,3.99,3.15,0.225,1.14
299,-2.3,0.6,4.34,4.23,2.73,0.25,1.62
65,-2.4,0.574,4.36,3.96,2.76,0.35,8.03
26,-2.3,0.569,4.78,3.04,3.64,0.425,35.01
66,-2.4,0.574,4.36,3.96,2.76,0.375,12.86
280,-2.3,0.6,5.1,4.17,3.51,0.125,0.01
90,-2.3,0.562,5.14,4.95,3.17,0.275,3.09
213,-2.3,0.53,4.34,2.81,3.15,0.2,0.63
55,-2.3,0.564,5.1,3.95,3.53,0.45,50.36
22,-2.3,0.569,4.78,3.04,3.64,0.325,4.61
200,-2.3,0.53,4.76,3.68,3.16,0.225,1.15
238,-5.0,0.6,4.78,4.24,3.15,0.125,0.06
230,0.0,0.6,4.78,4.24,3.15,0.275,3.35
219,-2.3,0.53,4.34,2.81,3.15,0.35,7.19
246,-5.0,0.6,4.78,4.24,3.15,0.325,6.2
191,-2.3,0.53,5.11,3.69,3.51,0.35,7.84
15,-2.3,0.569,4.78,3.04,3.64,0.15,0.17
89,-2.3,0.562,5.14,4.95,3.17,0.25,2.23
60,-2.4,0.574,4.36,3.96,2.76,0.225,1.37
210,-2.3,0.53,4.34,2.81,3.15,0.125,0.05
12,-2.3,0.568,4.78,3.99,3.17,0.425,32.75
74,-2.4,0.568,4.34,2.98,3.15,0.225,1.09
236,0.0,0.6,4.78,4.24,3.15,0.425,34.62
154,0.0,0.565,5.1,3.94,3.51,0.125,0.08
81,-2.4,0.568,4.34,2.98,3.15,0.4,20.63
206,-2.3,0.53,4.76,3.68,3.16,0.375,13.77
229,0.0,0.6,4.78,4.24,3.15,0.25,2.16
132,0.0,0.565,4.77,3.99,3.15,0.275,2.88
249,-5.0,0.6,4.78,4.24,3.15,0.4,20.41
224,0.0,0.6,4.78,4.24,3.15,0.125,0.03
160,0.0,0.565,5.1,3.94,3.51,0.275,2.68
194,-2.3,0.53,5.11,3.69,3.51,0.425,37.95
239,-5.0,0.6,4.78,4.24,3.15,0.15,0.15
134,0.0,0.565,4.77,3.99,3.15,0.325,5.96
232,0.0,0.6,4.78,4.24,3.15,0.325,7.14
52,-2.3,0.564,5.1,3.95,3.53,0.375,12.86
64,-2.4,0.574,4.36,3.96,2.76,0.325,5.19
161,0.0,0.565,5.1,3.94,3.51,0.3,3.76
17,-2.3,0.569,4.78,3.04,3.64,0.2,0.66
135,0.0,0.565,4.77,3.99,3.15,0.35,9.07
8,-2.3,0.568,4.78,3.99,3.17,0.325,4.99
136,0.0,0.565,4.77,3.99,3.15,0.375,14.93
168,-5.0,0.565,5.1,3.94,3.51,0.125,0.08
122,-2.2,0.546,4.78,4.13,3.07,0.375,12.76
231,0.0,0.6,4.78,4.24,3.15,0.3,5.06
198,-2.3,0.53,4.76,3.68,3.16,0.175,0.47
176,-5.0,0.565,5.1,3.94,3.51,0.325,5.27
233,0.0,0.6,4.78,4.24,3.15,0.35,10.36
5,-2.3,0.568,4.78,3.99,3.17,0.25,1.82
59,-2.4,0.574,4.36,3.96,2.76,0.2,0.93
106,-2.4,0.585,4.78,3.84,3.32,0.325,5.79
256,0.0,0.53,4.78,3.75,3.15,0.225,1.37
34,-2.3,0.565,4.78,5.35,2.76,0.275,2.94
108,-2.4,0.585,4.78,3.84,3.32,0.375,12.15
33,-2.3,0.565,4.78,5.35,2.76,0.25,1.99
21,-2.3,0.569,4.78,3.04,3.64,0.3,3.29
254,0.0,0.53,4.78,3.75,3.15,0.175,0.59
7,-2.3,0.568,4.78,3.99,3.17,0.3,3.76
45,-2.3,0.564,5.1,3.95,3.53,0.2,0.93
97,-2.3,0.562,5.14,4.95,3.17,0.45,47.29
92,-2.3,0.562,5.14,4.95,3.17,0.325,5.82
137,0.0,0.565,4.77,3.99,3.15,0.4,24.13
158,0.0,0.565,5.1,3.94,3.51,0.225,1.28
275,-5.0,0.53,4.78,3.75,3.15,0.35,7.95
181,-5.0,0.565,5.1,3.94,3.51,0.45,49.14
129,0.0,0.565,4.77,3.99,3.15,0.2,0.79
103,-2.4,0.585,4.78,3.84,3.32,0.25,1.98
126,0.0,0.565,4.77,3.99,3.15,0.125,0.11
253,0.0,0.53,4.78,3.75,3.15,0.15,0.32
73,-2.4,0.568,4.34,2.98,3.15,0.2,0.69
301,-2.3,0.6,4.34,4.23,2.73,0.3,4.15
297,-2.3,0.6,4.34,4.23,2.73,0.2,0.64
101,-2.4,0.585,4.78,3.84,3.32,0.2,0.97
260,0.0,0.53,4.78,3.75,3.15,0.325,5.45
29,-2.3,0.565,4.78,5.35,2.76,0.15,0.29
152,-5.0,0.565,4.77,3.99,3.15,0.425,34.58
20,-2.3,0.569,4.78,3.04,3.64,0.275,2.33
46,-2.3,0.564,5.1,3.95,3.53,0.225,1.37
217,-2.3,0.53,4.34,2.81,3.15,0.3,2.73
245,-5.0,0.6,4.78,4.24,3.15,0.3,4.34
215,-2.3,0.53,4.34,2.81,3.15,0.25,1.43
190,-2.3,0.53,5.11,3.69,3.51,0.325,4.42
27,-2.3,0.569,4.78,3.04,3.64,0.45,51.8
157,0.0,0.565,5.1,3.94,3.51,0.2,0.83
266,-5.0,0.53,4.78,3.75,3.15,0.125,0.09
