index,X0,X1,X2,X3,X4,X5,Y
73,-2.4,0.568,4.34,2.98,3.15,0.2,0.69
304,-2.3,0.6,4.34,4.23,2.73,0.375,12.27
228,0.0,0.6,4.78,4.24,3.15,0.225,1.3
238,-5.0,0.6,4.78,4.24,3.15,0.125,0.06
259,0.0,0.53,4.78,3.75,3.15,0.3,3.7
164,0.0,0.565,5.1,3.94,3.51,0.375,14.24
197,-2.3,0.53,4.76,3.68,3.16,0.15,0.23
227,0.0,0.6,4.78,4.24,3.15,0.2,0.73
274,-5.0,0.53,4.78,3.75,3.15,0.325,5.07
58,-2.4,0.574,4.36,3.96,2.76,0.175,0.65
202,-2.3,0.53,4.76,3.68,3.16,0.275,2.28
173,-5.0,0.565,5.1,3.94,3.51,0.25,1.76
236,0.0,0.6,4.78,4.24,3.15,0.425,34.62
305,-2.3,0.6,4.34,4.23,2.73,0.4,19.59
283,-2.3,0.6,5.1,4.17,3.51,0.2,0.73
297,-2.3,0.6,4.34,4.23,2.73,0.2,0.64
120,-2.2,0.546,4.78,4.13,3.07,0.325,4.83
157,0.0,0.565,5.1,3.94,3.51,0.2,0.83
230,0.0,0.6,4.78,4.24,3.15,0.275,3.35
18,-2.3,0.569,4.78,3.04,3.64,0.225,1.06
307,-2.3,0.6,4.34,4.23,2.73,0.45,46.66
11,-2.3,0.568,4.78,3.99,3.17,0.4,20.11
169,-5.0,0.565,5.1,3.94,3.51,0.15,0.24
165,0.0,0.565,5.1,3.94,3.51,0.4,23.05
217,-2.3,0.53,4.34,2.81,3.15,0.3,2.73
222,-2.3,0.53,4.34,2.81,3.15,0.425,41.34
100,-2.4,0.585,4.78,3.84,3.32,0.175,0.64
89,-2.3,0.562,5.14,4.95,3.17,0.25,2.23
117,-2.2,0.546,4.78,4.13,3.07,0.25,1.76
85,-2.3,0.562,5.14,4.95,3.17,0.15,0.44
12,-2.3,0.568,4.78,3.99,3.17,0.425,32.75
292,-2.3,0.6,5.1,4.17,3.51,0.425,31.77
27,-2.3,0.569,4.78,3.04,3.64,0.45,51.8
59,-2.4,0.574,4.36,3.96,2.76,0.2,0.93
29,-2.3,0.565,4.78,5.35,2.76,0.15,0.29
139,0.0,0.565,4.77,3.99,3.15,0.45,55.44
107,-2.4,0.585,4.78,3.84,3.32,0.35,8.04
187,-2.3,0.53,5.11,3.69,3.51,0.25,1.57
127,0.0,0.565,4.77,3.99,3.15,0.15,0.24
206,-2.3,0.53,4.76,3.68,3.16,0.375,13.77
229,0.0,0.6,4.78,4.24,3.15,0.25,2.16
186,-2.3,0.53,5.11,3.69,3.51,0.225,1.11
105,-2.4,0.585,4.78,3.84,3.32,0.3,4.35
208,-2.3,0.53,4.76,3.68,3.16,0.425,37.38
90,-2.3,0.562,5.14,4.95,3.17,0.275,3.09
233,0.0,0.6,4.78,4.24,3.15,0.35,10.36
163,0.0,0.565,5.1,3.94,3.51,0.35,8.76
102,-2.4,0.585,4.78,3.84,3.32,0.225,1.36
204,-2.3,0.53,4.76,3.68,3.16,0.325,4.41
4,-2.3,0.568,4.78,3.99,3.17,0.225,1.18
167,0.0,0.565,5.1,3.94,3.51,0.45,51.99
258,0.0,0.53,4.78,3.75,3.15,0.275,2.62
51,-2.3,0.564,5.1,3.95,3.53,0.35,8.03
181,-5.0,0.565,5.1,3.94,3.51,0.45,49.14
80,-2.4,0.568,4.34,2.98,3.15,0.375,11.56
9,-2.3,0.568,4.78,3.99,3.17,0.35,7.16
244,-5.0,0.6,4.78,4.24,3.15,0.275,2.84
16,-2.3,0.569,4.78,3.04,3.64,0.175,0.37
138,0.0,0.565,4.77,3.99,3.15,0.425,38.12
70,-2.4,0.568,4.34,2.98,3.15,0.125,0.12
0,-2.3,0.568,4.78,3.99,3.17,0.125,0.11
177,-5.0,0.565,5.1,3.94,3.51,0.35,7.74
159,0.0,0.565,5.1,3.94,3.51,0.25,1.9
111,-2.4,0.585,4.78,3.84,3.32,0.45,44.38
62,-2.4,0.574,4.36,3.96,2.76,0.275,2.83
242,-5.0,0.6,4.78,4.24,3.15,0.225,1.13
131,0.0,0.565,4.77,3.99,3.15,0.25,1.96
161,0.0,0.565,5.1,3.94,3.51,0.3,3.76
146,-5.0,0.565,4.77,3.99,3.15,0.275,2.77
88,-2.3,0.562,5.14,4.95,3.17,0.225,1.57
172,-5.0,0.565,5.1,3.94,3.51,0.225,1.19
125,-2.2,0.546,4.78,4.13,3.07,0.45,53.07
201,-2.3,0.53,4.76,3.68,3.16,0.25,1.65
39,-2.3,0.565,4.78,5.35,2.76,0.4,21.4
78,-2.4,0.568,4.34,2.98,3.15,0.325,4.62
95,-2.3,0.562,5.14,4.95,3.17,0.4,20.41
112,-2.2,0.546,4.78,4.13,3.07,0.125,0.15
290,-2.3,0.6,5.1,4.17,3.51,0.375,12.39
17,-2.3,0.569,4.78,3.04,3.64,0.2,0.66
262,0.0,0.53,4.78,3.75,3.15,0.375,16.31
282,-2.3,0.6,5.1,4.17,3.51,0.175,0.39
123,-2.2,0.546,4.78,4.13,3.07,0.4,21.99
42,-2.3,0.564,5.1,3.95,3.53,0.125,0.2
93,-2.3,0.562,5.14,4.95,3.17,0.35,8.28
263,0.0,0.53,4.78,3.75,3.15,0.4,27.34
175,-5.0,0.565,5.1,3.94,3.51,0.3,3.85
5,-2.3,0.568,4.78,3.99,3.17,0.25,1.82
253,0.0,0.53,4.78,3.75,3.15,0.15,0.32
38,-2.3,0.565,4.78,5.35,2.76,0.375,13.08
110,-2.4,0.585,4.78,3.84,3.32,0.425,30.09
224,0.0,0.6,4.78,4.24,3.15,0.125,0.03
67,-2.4,0.574,4.36,3.96,2.76,0.4,21.51
150,-5.0,0.565,4.77,3.99,3.15,0.375,12.71
119,-2.2,0.546,4.78,4.13,3.07,0.3,3.45
34,-2.3,0.565,4.78,5.35,2.76,0.275,2.94
260,0.0,0.53,4.78,3.75,3.15,0.325,5.45
180,-5.0,0.565,5.1,3.94,3.51,0.425,33.23
192,-2.3,0.53,5.11,3.69,3.51,0.375,14.11
211,-2.3,0.53,4.34,2.81,3.15,0.15,0.17
287,-2.3,0.6,5.1,4.17,3.51,0.3,4.46
270,-5.0,0.53,4.78,3.75,3.15,0.225,1.21
